Array,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4
Cycle,32,32,32,38,38,38,44,44,44,50,50,50,56,56,56,62,62,62,68,68,68,74,74,74,80,80,80,86,86,86,92,92,92,98,98,98,104,104,104,110,110,110,116,116,116,122,122,122,128,128,128,134,134,134,140,140,140,146,146,146,152,152,152,154,154,154,154,154,32,32,32,38,38,38,44,44,44,50,50,50,56,56,56,62,62,62,68,68,68,74,74,74,80,80,80,86,86,86,92,92,92,98,98,98,104,104,104,110,110,110,116,116,116,122,122,122,128,128,128,134,134,134,140,140,140,146,146,146,152,152,152,154,154,154,154,154,32,32,32,38,38,38,44,44,44,50,50,50,56,56,56,62,62,62,68,68,68,74,74,74,80,80,80,86,86,86,92,92,92,98,98,98,104,104,104,110,110,110,116,116,116,122,122,122,128,128,128,134,134,134,140,140,140,146,146,146,152,152,152,154,154,154,154,154,32,32,32,38,38,38,44,44,44,50,50,50,56,56,56,62,62,62,68,68,68,74,74,74,80,80,80,86,86,86,92,92,92,98,98,98,104,104,104,110,110,110,116,116,116,122,122,122,128,128,128,134,134,134,140,140,140,146,146,146,152,152,152,154,154,154,154,154
Exposure time,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,10,20,50,100,200,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,10,20,50,100,200,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,10,20,50,100,200,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,20,50,100,10,20,50,100,200
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFS_246_258_Y253F,2,2,0,-1,1,1,-1,1,-2,-1,0,-2,0,-1,-3,0,0,-2,1,0,0,0,0,-3,-1,0,0,1,-1,-3,1,-1,-3,1,-1,-1,0,0,-2,-1,-1,-3,0,-1,-4,0,0,-1,0,-2,0,-1,-2,-2,0,-1,0,-1,0,1,0,-1,-1,-2,-1,0,0,-3,1,1,2,0,1,-2,-1,-1,1,-2,-1,-2,0,0,-4,-1,-1,-1,0,0,-2,1,0,-1,-2,-1,-3,-1,1,-2,1,-1,-2,-1,0,-3,0,-1,-3,-2,-1,-2,0,-1,-3,1,0,-3,-1,-1,-1,-1,-2,-4,0,0,0,0,-1,0,-2,-1,-3,0,-1,-3,-1,-4,-1,0,-2,1,0,-4,-1,-2,-1,4,8,17,1,-1,-1,0,0,-2,0,-2,-3,0,1,-2,0,-2,-2,0,0,-2,0,-1,1,1,-2,0,0,-1,-2,0,-1,0,-1,0,-5,-1,-1,-1,0,0,-1,-2,1,-1,0,2,0,0,-1,-4,-1,0,-1,1,0,0,-2,-2,-2,0,0,-1,-1,-2,1,0,-1,0,-1,-2,1,-2,-1,0,-1,-2,-1,-1,-1,1,-1,-4,1,0,0,0,-1,0,-1,-3,-1,-1,-3,-2,-1,-1,-2,0,-2,0,0,0,-1,0,-1,-3,-2,-3,-1,0,-2,-1,-1,0,1,0,0,-3,0,1,0,0,0,0,-1,-2
CALM_93_105,-1,1,-1,-1,0,1,0,-1,-1,0,-1,0,0,-2,-1,1,-1,0,0,1,1,1,0,-1,0,-2,1,-1,0,1,0,2,3,-1,2,1,2,1,1,2,0,0,-1,1,5,2,1,1,0,1,4,0,1,4,1,0,2,0,1,2,0,0,2,3,0,0,2,7,-1,-1,-2,1,-2,1,1,0,0,1,2,1,1,-2,-1,-1,-2,-1,0,1,0,0,-2,2,0,1,3,0,2,1,0,0,0,1,-1,1,0,0,2,0,-2,2,2,2,0,0,1,1,0,0,0,0,0,0,-1,1,2,0,0,3,1,1,2,0,1,1,2,7,-1,-1,1,0,-1,-2,0,0,-1,-1,1,0,0,-2,1,2,0,-1,0,-1,0,-1,0,0,1,1,1,1,1,-1,1,1,-2,-1,1,1,0,-2,-1,1,0,1,0,1,1,0,1,0,1,1,-1,0,-2,2,0,0,2,0,-1,1,-2,0,3,-1,0,2,1,5,0,0,1,0,1,-1,-2,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,2,-1,-1,2,1,1,0,0,0,-1,2,1,-1,-1,1,0,0,2,-1,-1,1,1,0,1,0,1,-2,-1,0,1,-2,0,0,1,2,1,-1,-1,0,0,2,1,0,-1,-1,3,6
CALM_95_107,-1,1,0,0,1,0,0,-1,2,1,1,-2,0,0,4,1,2,3,2,3,5,0,1,4,1,2,5,1,3,7,0,3,4,2,2,7,3,2,6,2,3,5,2,3,7,2,2,5,1,4,7,-1,3,6,0,3,8,2,4,10,2,5,9,1,0,6,7,17,-1,0,1,0,0,1,0,0,-1,-1,-1,3,1,2,-2,0,3,1,0,0,0,-2,1,0,1,0,1,0,1,0,1,-1,1,0,0,4,0,0,2,0,2,3,1,3,3,0,2,-1,1,4,4,1,3,2,-1,2,3,0,2,3,0,1,2,0,0,1,4,10,-1,1,0,-1,0,-1,0,-1,0,0,0,1,0,0,3,0,0,-1,-1,-1,-1,0,-1,0,0,1,2,-2,1,1,2,1,2,1,2,1,0,0,0,1,1,1,0,1,3,0,4,3,0,1,2,0,1,2,1,2,2,1,3,13,1,2,4,-2,0,0,2,6,0,2,0,0,-1,1,2,-1,1,0,1,1,0,1,2,0,2,2,-1,0,2,-1,3,4,0,2,4,1,3,5,1,3,3,1,3,6,0,1,3,0,2,2,-1,2,7,0,-1,5,0,2,5,0,3,5,2,1,4,2,3,4,2,4,7,0,1,4,8,13
JAK2_1001_1013,0,-2,1,-1,1,-1,0,0,-2,-1,0,0,-1,1,1,0,0,0,-1,0,-2,0,0,1,-1,0,-1,0,-1,0,0,1,0,-1,1,1,0,1,3,1,0,0,1,-1,3,1,1,1,0,0,-1,1,2,2,0,1,5,1,1,4,0,-1,3,0,1,2,2,4,0,0,-1,2,0,-1,0,0,1,-2,-2,-1,-1,-1,-3,1,-1,-1,-1,0,-1,-1,1,-1,0,0,0,-1,0,-1,0,0,0,-1,1,-1,-1,0,-2,0,1,0,1,2,-2,0,1,-1,0,-1,-2,-3,-1,0,0,0,-1,0,1,0,-1,1,0,-1,0,2,1,2,0,0,0,0,0,-1,-1,-1,0,0,0,-4,1,-1,-1,-1,0,-2,0,-1,-2,0,1,0,0,0,-2,2,0,-2,0,0,-2,1,0,3,0,0,0,-1,0,1,-2,0,0,1,-1,-1,-1,-1,1,-1,-1,0,0,1,0,1,-1,1,0,2,1,0,0,1,2,1,1,1,0,-1,0,-1,-1,1,-2,-2,-1,0,2,0,-1,-1,0,-1,-1,1,-1,0,-1,-1,0,0,-2,-2,1,1,2,-1,-2,-1,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,-1,0,1,0,3,-1,-3,1,-2,-1,-2,-1,0,-2,0,1,0,2,0,1
PGFRB_1002_1014,1,2,2,1,0,0,1,1,0,0,1,2,3,2,0,1,3,6,1,5,8,2,5,10,0,6,13,3,6,15,3,10,15,3,8,18,5,7,19,4,10,21,7,7,21,3,13,24,5,12,25,6,13,27,5,13,28,8,15,29,5,13,34,3,8,19,39,77,-1,-2,0,0,-2,-4,-1,0,-1,1,0,1,0,-3,-2,1,0,0,-1,-1,0,1,0,1,0,2,0,1,2,4,2,2,2,0,2,6,2,2,2,1,1,8,0,1,8,2,4,5,2,5,7,2,4,9,2,3,8,3,6,9,3,5,5,1,-1,4,10,23,0,0,0,0,-2,-3,1,-2,-3,-1,0,-3,0,0,-1,0,-1,0,-1,2,-1,-1,1,0,-1,0,2,-1,0,2,0,1,2,0,1,0,1,-1,0,0,2,3,0,1,1,1,1,4,2,4,7,1,2,4,1,2,6,2,2,6,1,3,6,1,1,2,7,13,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,1,1,0,0,0,1,-1,0,3,2,2,6,1,1,3,1,1,7,2,3,8,1,5,8,-1,6,6,2,3,8,1,7,10,3,8,11,1,5,13,2,8,14,3,7,15,2,7,12,-1,9,16,-1,4,12,20,39
PGFRB_1014_1028,0,1,-1,0,1,1,0,4,5,0,3,9,2,5,15,5,10,22,4,11,21,2,12,30,8,19,33,7,22,47,9,24,47,9,27,54,12,27,55,12,33,63,13,33,67,12,36,74,13,37,79,15,38,82,14,44,89,17,44,92,18,44,97,10,21,50,101,215,0,0,-1,-1,0,-1,0,0,-1,0,1,1,0,1,0,1,1,4,0,3,9,1,3,9,3,3,7,3,4,9,3,0,12,1,6,16,3,9,18,6,6,18,2,10,13,5,8,25,3,11,22,4,10,22,6,15,29,4,13,27,5,13,30,1,5,13,25,53,0,1,1,-1,-1,-3,0,0,-2,0,0,0,1,-2,1,0,2,2,2,0,1,0,1,6,2,4,0,0,2,8,2,3,5,3,5,9,2,4,9,2,7,10,3,5,12,2,6,12,3,8,13,4,9,17,3,9,20,3,10,16,2,10,14,3,7,11,26,50,1,1,2,1,0,-2,0,1,0,0,0,2,-2,3,4,1,2,7,2,4,9,1,6,11,2,6,13,3,9,21,3,10,20,5,13,29,4,12,29,4,19,34,4,16,37,7,21,37,8,22,40,11,25,43,12,26,47,7,25,52,9,26,55,5,12,32,64,138
RET_1022_1034,0,1,3,1,3,8,4,8,19,6,15,31,8,21,46,10,29,61,14,35,74,15,44,90,21,48,101,24,54,114,23,64,129,28,70,142,31,77,150,33,82,166,35,87,178,37,97,196,41,102,203,42,107,215,46,115,222,45,121,237,50,128,248,26,59,145,282,581,-1,0,2,-1,0,0,0,1,3,1,5,9,2,7,14,3,9,18,4,7,18,6,14,26,6,15,28,8,19,35,8,22,42,10,22,45,9,27,50,12,27,58,11,33,59,13,31,67,14,34,67,14,38,76,16,41,80,16,39,86,16,41,85,9,18,45,83,160,-1,1,-1,0,0,-1,0,-1,-2,-1,0,4,0,1,7,2,2,7,2,6,9,3,7,14,3,6,15,4,10,20,7,11,22,5,10,29,6,12,29,5,16,29,6,16,30,7,16,33,9,21,42,8,18,39,7,17,45,10,22,49,12,27,49,4,11,33,62,130,0,0,-1,2,1,2,1,4,5,2,7,11,3,10,15,5,13,24,6,12,36,8,22,35,7,25,48,13,28,60,14,30,65,14,38,77,18,38,87,17,45,93,20,47,104,22,56,106,26,56,124,25,62,132,28,67,134,27,72,140,29,77,154,19,33,87,176,355
